team_id,team_name
1475,Manchester United
2652,Leicester City WFC
967,Everton LFC
2647,Aston Villa
749,Tottenham Hotspur Women
972,West Ham United LFC
968,Arsenal WFC
971,Chelsea FCW
966,Liverpool WFC
965,Brighton & Hove Albion WFC
746,Manchester City WFC
974,Reading WFC
